编号,题名,作者,年份,来源,主题组,关键词,研究问题,核心论点,方法材料,案例,概念,原文库内路径,原始路径,页数,SHA1,抽取/整理可信度
01,寻找中国国家治理的历史线索,周雪光,2019,原载《中国社会科学》2019年第1期，文件为《社会科学文摘》摘编,本土方法论与国家治理,历史社会学、国家治理、基层治理、中国经验、制度连续性,如何从中国历史过程中寻找解释国家治理与基层治理的线索，而不只停留在当下经验切片。,社会科学需要向史学借取时间维度、过程意识和制度演化视角。把现实治理问题放回历史连续性中，能够看到制度安排、组织逻辑和观念结构的生成机制。,历史社会学式的方法论反思；以跨学科对话提示问题意识。,中国国家治理与基层治理研究的历史维度。,历史线索、国家治理、类比机制、制度演化,原文/01_周雪光_寻找中国国家治理的历史线索.pdf,C:\Users\admin\Downloads\寻找中国国家治理的历史线索_周雪光.pdf,4,462a155501a4,高。文本可直接抽取；年份据文末来源信息整理。
02,“实践社会科学”研究进路：一个总结性的介绍和论析,黄宗智,2023,开放时代 2023/04,本土方法论与知识体系,实践社会科学、主客观二元、经验研究、理论建构、布迪厄,如何在理论预设与经验材料之间建立互相生成的研究关系。,实践不是单纯客观经验，也不是脱离经验的主观建构，而是二者互动中生成的研究对象和解释路径。中国经验研究应从实践出发，在真实问题中检验、修正和生发概念。,方法论总结；通过“学术实践”阐明实践社会科学的研究路径。,实践理论与中国经验研究的关系。,实践社会科学、真实感、主客观互动、经验发现,原文/02_黄宗智_实践社会科学研究进路.pdf,C:\Users\admin\Downloads\“实践社会科学”研究进路：一个总结性的介绍和论析_黄宗智.pdf,13,a83707b4d9ff,高。文本可直接抽取。
03,从脱贫攻坚到乡村振兴：迈向“家国一体”的国家与农民关系,周飞舟,2021,社会学研究 2021,国家治理与政农关系,脱贫攻坚、乡村振兴、家国一体、国家与农民关系、驻村帮扶,脱贫攻坚中的国家与农民关系，能否用西方“国家-社会”博弈框架解释。,脱贫攻坚呈现出“立国为家、化家为国”的家国一体关系形态。国家通过产业对接、驻村帮扶、乡风文明建设等方式进入乡村，但目标不是替代农民家庭，而是激发并维护“家”的主体性。,2018-2020年全国贫困村调研案例；政策过程与基层实践结合分析。,贫困村产业发展、驻村帮扶和乡风文明建设。,家国一体、对接、内生动力、国家与农民关系,原文/03_周飞舟_从脱贫攻坚到乡村振兴.pdf,C:\Users\admin\Downloads\从脱贫攻坚到乡村振兴：迈向“家国一体”的国家与农民关系_周飞舟.pdf,23,7a01e3d7c042,高。文本可直接抽取。
04,人民与家国：“大国小农”的治理逻辑,周飞舟,2025,社会 2025年第1期，专题笔谈,国家治理与政农关系,人民性、大国小农、家国传统、土地制度、宗族,中国传统社会中，国家何以把小农家庭作为治理根基，并形成“人民与家国”的政治社会结构。,文章以土地制度、人才选拔和宗族制度为线索，讨论“得乎丘民为天子”“选贤与能”“士出于农”等传统如何把小农家庭、宗族组织和国家治理联结起来。其核心不是抽象民本，而是以小农家庭为社会基础的家国结构。,历史社会学与经典文献阐释。,均田与永佃、察举与科举、宗法与宗族。,大国小农、民惟邦本、士出于农、家国传统,原文/04_周飞舟_人民与家国大国小农的治理逻辑.pdf,C:\Users\admin\Downloads\人民与家国：“大国小农”的治理逻辑_周飞舟.pdf,12,f6cf35251cc3,高。文件包含专题笔谈，核心文章自第2页起。
05,农政问题：概念演进与理论发展,叶敬忠,2022,社会学研究 2022,农政问题与小农社会,农政问题、农政转型、马克思主义、实体主义、国家发展,“农政问题”何以成为理解国家发展、农业转型和农民命运的核心概念。,农政问题围绕农业、农地、农民、农村在国家发展中的制度结构和转型方向展开，具有马克思主义与实体主义等理论传统。中文学术需要重拾该概念，并发展中国农政转型理论。,概念史、理论史与知识谱系梳理。,考茨基以来的Agrarian Question及其理论演进。,农政问题、农政转型、农业生产方式、农村治理与动员,原文/05_叶敬忠_农政问题概念演进与理论发展.pdf,C:\Users\admin\Downloads\农政问题：概念演进与理论发展_叶敬忠.pdf,25,4a7e484f9e27,高。文本可直接抽取。
06,农政问题：被忽视的学术概念及其传统,叶敬忠,2025,社会发展研究 2025年第1期,农政问题与小农社会,农政问题、知识考古、学术概念、三农问题、本土化与国际化,为什么Agrarian Question在中文学术中长期被土地、农业、农民或农村问题等译法分散，未形成稳定概念。,“农政”指涉农地、农业、农民和农村中的生产与再生产、物质资料与政治权力关系。重拾该概念，不是替换“三农”问题，而是为中国农村研究补上清晰的理论脉络与知识传统。,知识考古、术语比较与概念规范化分析。,德语、俄语、英语中Agrarian Question的对应术语与中文译介。,农政、知识考古、三农问题、本土化与国际化,原文/06_叶敬忠_农政问题被忽视的学术概念及其传统.pdf,C:\Users\admin\Downloads\农政问题：被忽视的学术概念及其传统_叶敬忠.pdf,22,b64a6608170f,高。文本可直接抽取。
07,质性研究的田野过程与方法延展,叶敬忠,2026,2026年第2期，期刊名待补,本土方法论与知识体系,质性研究、田野过程、田野访谈、转村踏查、研究单元,质性研究为什么“容易掌握又难以把握”，以及田野过程如何转化为理论发现。,田野不是执行固定程序，而是在观察、访谈、顿悟与想象之间不断生成问题。高质量访谈既要回答问题，更要挖掘回答背后的逻辑；“转村踏查”可突破长周期田野的信息茧房。,方法论反思与田野经验总结。,乡村社会研究中的村庄、乡镇、县域等研究单元选择。,转村踏查、信息茧房、田野访谈、研究单元,原文/07_叶敬忠_质性研究的田野过程与方法延展.pdf,C:\Users\admin\Downloads\质性研究的田野过程与方法延展_叶敬忠.pdf,12,d554e61cb9f9,中高。文本可直接抽取；期刊名需后续补充。
08,行动者为导向的发展社会学研究方法：解读《行动者视角的发展社会学》,叶敬忠、李春艳,2009,贵州社会科学 2009年第10期,本土方法论与知识体系,行动者导向、发展社会学、结构与能动、异质性、诺曼龙,如何从微观行动者出发解释宏观结构和社会变迁，而不把农民或发展对象处理成被动承受者。,行动者导向方法通过理解个体动机、目的与兴趣，解释特定社会形态如何在日常生活和生活世界中生成、运行并与更宽广的结构网络互锁。,理论译介与方法论阐释。,诺曼·龙的发展社会学与行动者视角。,社会行动者、能动性、异质性、资源场域、互锁,原文/08_叶敬忠李春艳_行动者为导向的发展社会学研究方法.pdf,C:\Users\admin\Downloads\行动者为导向的发展社会学研究方法_解读_行动者视角的发展社会学_叶敬忠.pdf,8,900a1d9523c1,中。pypdf抽取异常，已用pdf.js回退；正文后段抽取质量一般，笔记以题名、摘要和结构为主。
09,小农户的现代化：农业社会化服务的组织化供给机制探讨,陈义媛,2023,南京农业大学学报（社会科学版）2023年第5期,小农组织化与农业现代化,小农户、农业社会化服务、组织化服务、村集体、土地集体所有制,除市场化服务主体之外，村集体如何作为农业社会化服务主体组织小农户完成产业升级。,寿光平沙村旧棚改造显示，村集体通过土地统筹、返租置换、公共协商和民主博弈，低成本解决农户分化带来的利益协调难题与土地低效利用问题。服务供给本身就是组织小农的过程。,案例研究。,寿光市平沙村蔬菜大棚旧棚改造。,组织化供给、农业社会化服务、土地统筹、公共博弈空间,原文/09_陈义媛_小农户的现代化.pdf,C:\Users\admin\Downloads\小农户的现代化：农业社会化服务的组织化供给机制探讨_陈义媛.pdf,11,c83dff215c72,高。文本可直接抽取。
10,政农关系视角下扶贫合作组织名实分离的过程与逻辑：基于Y县扶贫互助社的分析,陆汉文、岳要鹏,2015,国家行政学院学报 2015年第4期,国家治理与政农关系,扶贫合作组织、名实分离、压力型体制、政农关系、扶贫互助社,扶贫互助社为什么会偏离制度设计，出现扶贫合作组织的名实分离。,压力型体制下地方政府与农民利益存在张力，资金逐利与风险控制又推动组织偏离原定目标。地方政府把“不出事”作为硬指标，将互助社纳入科层控制，进一步强化名实分离。,Y县案例分析。,贫困村互助资金与扶贫互助社。,名实分离、压力型体制、不出事、科层控制,原文/10_陆汉文岳要鹏_扶贫合作组织名实分离.pdf,C:\Users\admin\Downloads\政农关系视角下扶贫合作组织名实分离的过程与逻辑——基于Y县扶贫互助社的分析_陆汉文.pdf,5,fc7a3f33b97e,高。文本可直接抽取。
